evmAddress,hederaAccountId,healthFactor,positionAssets,totalSuppliedValueHbar,totalSuppliedValueUsd,totalBorrowedValueHbar,totalBorrowedValueUsd,XSAUCE_suppliedAmount,XSAUCE_suppliedValueHbar,XSAUCE_suppliedValueUsd,XSAUCE_borrowedAmount,XSAUCE_borrowedValueHbar,XSAUCE_borrowedValueUsd,XSAUCE_usedAsCollateral,USDC_suppliedAmount,USDC_suppliedValueHbar,USDC_suppliedValueUsd,USDC_borrowedAmount,USDC_borrowedValueHbar,USDC_borrowedValueUsd,USDC_usedAsCollateral,KARATE_suppliedAmount,KARATE_suppliedValueHbar,KARATE_suppliedValueUsd,KARATE_borrowedAmount,KARATE_borrowedValueHbar,KARATE_borrowedValueUsd,KARATE_usedAsCollateral,HBARX_suppliedAmount,HBARX_suppliedValueHbar,HBARX_suppliedValueUsd,HBARX_borrowedAmount,HBARX_borrowedValueHbar,HBARX_borrowedValueUsd,HBARX_usedAsCollateral,SAUCE_suppliedAmount,SAUCE_suppliedValueHbar,SAUCE_suppliedValueUsd,SAUCE_borrowedAmount,SAUCE_borrowedValueHbar,SAUCE_borrowedValueUsd,SAUCE_usedAsCollateral,WHBAR_suppliedAmount,WHBAR_suppliedValueHbar,WHBAR_suppliedValueUsd,WHBAR_borrowedAmount,WHBAR_borrowedValueHbar,WHBAR_borrowedValueUsd,WHBAR_usedAsCollateral,DOVU_suppliedAmount,DOVU_suppliedValueHbar,DOVU_suppliedValueUsd,DOVU_borrowedAmount,DOVU_borrowedValueHbar,DOVU_borrowedValueUsd,DOVU_usedAsCollateral,HST_suppliedAmount,HST_suppliedValueHbar,HST_suppliedValueUsd,HST_borrowedAmount,HST_borrowedValueHbar,HST_borrowedValueUsd,HST_usedAsCollateral,PACK_suppliedAmount,PACK_suppliedValueHbar,PACK_suppliedValueUsd,PACK_borrowedAmount,PACK_borrowedValueHbar,PACK_borrowedValueUsd,PACK_usedAsCollateral,STEAM_suppliedAmount,STEAM_suppliedValueHbar,STEAM_suppliedValueUsd,STEAM_borrowedAmount,STEAM_borrowedValueHbar,STEAM_borrowedValueUsd,STEAM_usedAsCollateral,GRELF_suppliedAmount,GRELF_suppliedValueHbar,GRELF_suppliedValueUsd,GRELF_borrowedAmount,GRELF_borrowedValueHbar,GRELF_borrowedValueUsd,GRELF_usedAsCollateral,KBL_suppliedAmount,KBL_suppliedValueHbar,KBL_suppliedValueUsd,KBL_borrowedAmount,KBL_borrowedValueHbar,KBL_borrowedValueUsd,KBL_usedAsCollateral,BONZO_suppliedAmount,BONZO_suppliedValueHbar,BONZO_suppliedValueUsd,BONZO_borrowedAmount,BONZO_borrowedValueHbar,BONZO_borrowedValueUsd,BONZO_usedAsCollateral,WETH_suppliedAmount,WETH_suppliedValueHbar,WETH_suppliedValueUsd,WETH_borrowedAmount,WETH_borrowedValueHbar,WETH_borrowedValueUsd,WETH_usedAsCollateral
0x00000000000000000000000000000000002EE151,0.0.3072337,infinite,SAUCE;USDC,0.00001449,0.00,0,0.00,0,0,0.00,0,0,0.00,false,0.000001,0.00001429,0.00,0,0,0.00,true,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0.000001,0.0000002,0.00,0,0,0.00,true,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false
0x00000000000000000000000000000000002ef067,0.0.3076199,infinite,WHBAR,0.00000099,0.00,0,0.00,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0.00000099,0.00000099,0.00,0,0,0.00,true,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false
0x00000000000000000000000000000000002f1b6b,0.0.3087211,infinite,WHBAR,1997.39313725,139.82,0,0.00,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,1997.39313725,1997.39313725,139.82,0,0,0.00,true,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false
0x00000000000000000000000000000000002f3D1f,0.0.3095839,infinite,DOVU;USDC;WHBAR,15.33553246,1.07,0,0.00,0,0,0.00,0,0,0.00,false,1.073482,15.33545714,1.07,0,0,0.00,true,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0.00005884,0.00005884,0.00,0,0,0.00,true,0.00104891,0.00001648,0.00,0,0,0.00,true,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false
0x00000000000000000000000000000000002f3FD4,0.0.3096532,infinite,STEAM,0.00031429,0.00,0,0.00,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0.01,0.00031429,0.00,0,0,0.00,true,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false
0x00000000000000000000000000000000002f4093,0.0.3096723,infinite,BONZO;STEAM,258.71659782,18.11,0,0.00,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,207.3,6.51514286,0.46,0,0,0.00,true,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,1604.91834972,252.20145496,17.65,0,0,0.00,true,0,0,0.00,0,0,0.00,false
0x00000000000000000000000000000000002F412d,0.0.3096877,infinite,BONZO;WHBAR,0.00046825,0.00,0,0.00,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0.00045271,0.00045271,0.00,0,0,0.00,true,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0.00009891,0.00001554,0.00,0,0,0.00,true,0,0,0.00,0,0,0.00,false
0x00000000000000000000000000000000002F455e,0.0.3097950,infinite,WHBAR,0.00002562,0.00,0,0.00,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0.00002562,0.00002562,0.00,0,0,0.00,true,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false
0x00000000000000000000000000000000002F7b1e,0.0.3111710,infinite,PACK;WHBAR,30.84072995,2.16,0,0.00,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,30.1199795,30.1199795,2.11,0,0,0.00,true,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,10.510944,0.72075045,0.05,0,0,0.00,true,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false
0x00000000000000000000000000000000002F8A3a,0.0.3115578,infinite,BONZO;DOVU;KBL;PACK;USDC;XSAUCE,0.00043121,0.00,0,0.00,0.000017,0.00000413,0.00,0,0,0.00,true,0.000028,0.0004,0.00,0,0,0.00,true,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0.00033271,0.00000523,0.00,0,0,0.00,true,0,0,0.00,0,0,0.00,false,0.000252,0.00001728,0.00,0,0,0.00,true,0,0,0.00,0,0,0.00,false,0,0,0.00,0,0,0.00,false,0.000044,0.00000044,0.00,0,0,0.00,true,0.00002628,0.00000413,0.00,0,0,0.00,true,0,0,0.00,0,0,0.00,false
